group_level	group_name	order_name	baseline_mean	baseline_median	n_refs
family	A01b	Asfuvirales	88.8425	91.945	12
family	A01d	Asfuvirales	68.3333	75.0	15
family	A02	Asfuvirales	69.1093	75.0	29
family	AF_01	Asfuvirales	86.1059	92.06	27
family	AF_02	Asfuvirales	84.15	91.45	89
family	AF_03	Asfuvirales	90.8325	95.42	8
family	AF_04	Asfuvirales	86.3344	90.48	25
family	AF_05	Asfuvirales	92.0	96.0	5
family	AF_06	Asfuvirales	90.8644	89.81	9
family	AG_01	Algavirales	68.1539	77.25	630
family	AG_02	Algavirales	69.3882	77.78	49
family	AG_03	Algavirales	85.0106	92.14	33
family	AG_04	Algavirales	83.5219	91.52	115
family	AG_incertae_sedis	Algavirales	92.59	98.41	3
family	Aincertae_sedis	Asfuvirales	92.5933	100.0	3
family	IM_01	Imitervirales	64.5097	68.1	4237
family	IM_06	Imitervirales	63.9595	81.25	20
family	IM_07	Imitervirales	66.5544	78.79	108
family	IM_08	Imitervirales	66.4792	80.56	148
family	IM_14	Imitervirales	67.3939	76.19	59
family	IM_16	Imitervirales	70.5152	75.0	550
family	IM_19	Imitervirales	66.2033	80.83	9
family	IM_20	Imitervirales	64.0922	68.52	41
family	IM_21	Imitervirales	67.32	72.22	17
family	IM_22	Imitervirales	94.6429	95.83	7
family	IM_24	Imitervirales	66.6667	60.0	3
family	PM_01	Pimascovirales	68.0008	70.83	317
family	PM_02	Pimascovirales	86.9453	92.38	30
family	PM_03	Pimascovirales	86.7213	94.36	38
family	PM_04	Pimascovirales	68.0484	71.43	50
family	PM_05	Pimascovirales	74.4844	83.33	9
family	PM_06	Pimascovirales	87.4144	92.65	25
family	PM_07	Pimascovirales	66.035	70.37	129
family	PM_08	Pimascovirales	84.97	88.67	11
family	PM_09	Pimascovirales	90.9514	97.08	7
family	PM_11	Pimascovirales	92.5933	98.07	3
family	PM_12	Pimascovirales	92.5933	92.59	3
family	PM_13	Pimascovirales	85.4833	89.17	21
family	PM_14	Pimascovirales	92.0	95.0	5
family	PM_incertae_sedis	Pimascovirales	85.1164	93.86	11
family	PV_02	Pandoravirales	70.5123	66.67	13
family	PV_04	Pandoravirales	89.815	100.0	12
family	PV_05	Pandoravirales	69.4437	72.22	76
family	PV_06	Pandoravirales	63.8883	66.67	6
family	PV_07	Pandoravirales	68.9659	75.0	29
family	PV_08	Pandoravirales	72.8137	80.83	16
family	PV_incertae_sedis	Pandoravirales	83.833	94.165	10
family	PX_01	Chitovirales	91.0835	95.51	48
family	SI_01	split_Imitervirales	92.59	94.44	3
family	SI_02	split_Imitervirales	90.0	93.335	4
family	SI_18	split_Imitervirales	85.7871	92.33	90
family	basal_chitovirales	basal_chitovirales	94.815	100.0	6
family	f_	Algavirales	69.0475	70.635	8
family	f_	Asfuvirales	92.0	95.71	5
order	Algavirales	Algavirales	67.8019	71.81	838
order	Asfuvirales	Asfuvirales	67.935	70.83	230
order	Chitovirales	Chitovirales	91.0835	95.51	48
order	Imitervirales	Imitervirales	63.7892	73.81	5992
order	MIRUS	MIRUS	75.7298	83.33	370
order	Pandoravirales	Pandoravirales	70.4508	83.33	185
order	Pimascovirales	Pimascovirales	66.3381	68.52	672
order	basal_chitovirales	basal_chitovirales	94.815	100.0	6
order	o_	o_	63.3335	66.67	20
order	split_Imitervirales	split_Imitervirales	85.6403	92.035	98
