group_level	group_name	order_name	tier	marker_name
family	A01b	Asfuvirales	core	OG1352
family	A01b	Asfuvirales	core	OG3587
family	A01b	Asfuvirales	shared	OG1242
family	A01b	Asfuvirales	shared	OG1490
family	A01b	Asfuvirales	shared	OG1537
family	A01b	Asfuvirales	shared	OG1614
family	A01b	Asfuvirales	shared	OG1645
family	A01b	Asfuvirales	shared	OG1804
family	A01b	Asfuvirales	shared	OG2284
family	A01b	Asfuvirales	shared	OG2922
family	A01b	Asfuvirales	shared	OG3848
family	A01b	Asfuvirales	accessory	OG1340
family	A01b	Asfuvirales	accessory	OG1395
family	A01b	Asfuvirales	accessory	OG1435
family	A01b	Asfuvirales	accessory	OG1676
family	A01b	Asfuvirales	accessory	OG1684
family	A01b	Asfuvirales	accessory	OG1707
family	A01b	Asfuvirales	accessory	OG1709
family	A01b	Asfuvirales	accessory	OG1710
family	A01b	Asfuvirales	accessory	OG1758
family	A01b	Asfuvirales	accessory	OG1821
family	A01b	Asfuvirales	accessory	OG1831
family	A01b	Asfuvirales	accessory	OG1942
family	A01b	Asfuvirales	accessory	OG1943
family	A01b	Asfuvirales	accessory	OG2166
family	A01b	Asfuvirales	accessory	OG2708
family	A01b	Asfuvirales	accessory	OG3084
family	A01b	Asfuvirales	accessory	OG3263
family	A01b	Asfuvirales	accessory	OG3700
family	A01d	Asfuvirales	shared	OG1242
family	A01d	Asfuvirales	shared	OG1352
family	A01d	Asfuvirales	shared	OG1395
family	A01d	Asfuvirales	shared	OG1435
family	A01d	Asfuvirales	shared	OG1490
family	A01d	Asfuvirales	shared	OG1821
family	A01d	Asfuvirales	shared	OG2166
family	A01d	Asfuvirales	shared	OG3587
family	A01d	Asfuvirales	accessory	OG1537
family	A01d	Asfuvirales	accessory	OG1614
family	A01d	Asfuvirales	accessory	OG1617
family	A01d	Asfuvirales	accessory	OG1645
family	A01d	Asfuvirales	accessory	OG1709
family	A01d	Asfuvirales	accessory	OG1804
family	A01d	Asfuvirales	accessory	OG1943
family	A01d	Asfuvirales	accessory	OG2111
family	A01d	Asfuvirales	accessory	OG2284
family	A01d	Asfuvirales	accessory	OG2924
