marker_id	majority_annotation	majority_count	total_proteins
004_ATP8	ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast [PFAM:ATP synthase B/B' CF(0)]	10013	18807
005_ATP5F1A	consensus disorder prediction	1738	29813
006_ATP6	ATP synthase, F0 complex, subunit A [PFAM:ATP synthase A chain]	6630	14788
009_ATP5MC2	ATP synthase, F0 complex, subunit C [PFAM:ATP synthase subunit C]	1964	8604
018_COX1	Cytochrome c oxidase subunit I [PFAM:Cytochrome C and Quinol oxidase polypeptide I]	2345	10544
019_COX2	Cupredoxin [PFAM:Cytochrome C oxidase subunit II, periplasmic domain]	921	15279
020_COX3	Cytochrome c oxidase subunit III-like [PFAM:Cytochrome c oxidase subunit III]	5186	12814
049_ND3	NADH:ubiquinone/plastoquinone oxidoreductase, chain 3 [PFAM:NADH-ubiquinone/plastoquinone oxidoreductase, chain 3]	3910	10675
051_NDUFS3	NADH:ubiquinone oxidoreductase, 30kDa subunit superfamily [PFAM:Respiratory-chain NADH dehydrogenase, 30 Kd subunit]	4332	13798
052_NDUFS2	[NiFe]-hydrogenase, large subunit [PFAM:Respiratory-chain NADH dehydrogenase, 49 Kd subunit]	1276	13299
056_ND1	NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H [PFAM:NADH dehydrogenase]	4742	13490
058_NAD6	NADH-ubiquinone/plastoquinone oxidoreductase chain 6, subunit NuoJ [PFAM:NADH-ubiquinone/plastoquinone oxidoreductase chain 6]	3718	12724
059_ND4L	NADH-ubiquinone oxidoreductase chain 4L/K [PFAM:NADH-ubiquinone/plastoquinone oxidoreductase chain 4L]	2057	9079
060_ND5	NADH:ubiquinone oxidoreductase [PFAM:Proton-conducting membrane transporter]	6684	54097
061_ND4	NADH:ubiquinone oxidoreductase [PFAM:Proton-conducting membrane transporter]	8326	56921
062_ND2	NADH:ubiquinone oxidoreductase [PFAM:Proton-conducting membrane transporter]	7644	58467
069_CYTB	Cytochrome b/b6, N-terminal domain [PFAM:Cytochrome b/b6/petB]	779	9968
1003258at2759	GPI mannosyltransferase 1 [PFAM:Mannosyltransferase (PIG-M)]	284	1205
1019762at2759	Signal recognition particle subunit SRP68 [PFAM:RNA-binding signal recognition particle 68]	358	1506
1032689at2759	Ribosomal RNA adenine methyltransferase KsgA/Erm [PFAM:Ribosomal RNA adenine dimethylase]	4240	32926
1038775at2759	consensus disorder prediction	306	1426
