# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	GVOGm0003	-	393	2.67e-88	290.1	0.0	1	1	4.91e-90	9.22e-88	288.4	0.0	4	391	13	580	11	582	0.90
GVMAG-S-1096109-37|1096109_contig_156_6	-	429	GVOGm0013	-	459	2.82e-108	356.0	3.3	1	1	1.93e-110	3.62e-108	355.7	3.3	20	443	9	420	3	425	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	GVOGm0023	-	1378	9.98e-288	951.6	8.6	1	2	1.03e-123	6.45e-122	402.2	5.0	7	408	5	390	2	397	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	GVOGm0023	-	1378	9.98e-288	951.6	8.6	2	2	1.37e-168	8.57e-167	550.9	0.1	381	874	412	929	400	978	0.90
GVMAG-S-1096109-37|1096109_contig_156_24	-	442	GVOGm0023	-	1378	1.94e-112	370.8	6.4	1	1	3.93e-114	2.46e-112	370.5	6.4	909	1359	5	434	3	440	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	GVOGm0023	-	1378	2.91e-110	363.6	0.1	1	1	5.42e-112	3.40e-110	363.4	0.1	914	1348	10	424	3	427	0.90
GVMAG-S-1096109-37|1096109_contig_575_7	-	576	GVOGm0054	-	917	1.16e-141	466.8	5.2	1	1	1.56e-143	1.47e-141	466.4	5.2	13	518	13	552	3	574	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	GVOGm0054	-	917	1.03e-87	288.2	3.5	1	2	3.14e-74	2.95e-72	237.1	0.2	528	779	6	271	2	300	0.90
GVMAG-S-1096109-37|1096109_contig_575_6	-	493	GVOGm0054	-	917	1.03e-87	288.2	3.5	2	2	2.26e-18	2.12e-16	52.2	0.4	779	876	367	464	318	482	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0172	-	320	2.09e-06	20.4	2.3	1	4	6.22e-02	1.17e+01	-1.8	2.1	213	257	48	96	25	106	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0172	-	320	2.09e-06	20.4	2.3	2	4	1.11e-08	2.09e-06	20.4	2.3	18	52	123	165	102	181	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0172	-	320	2.09e-06	20.4	2.3	3	4	6.31e-03	1.19e+00	1.5	0.5	96	148	166	219	163	225	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0172	-	320	2.09e-06	20.4	2.3	4	4	6.00e-02	1.13e+01	-1.7	0.1	161	280	308	318	277	352	0.90
GVMAG-S-1096109-37|1096109_contig_153_11	-	1119	GVOGm0461	-	1117	0.00e+00	1226.3	19.0	1	1	0.00e+00	0.00e+00	1226.2	19.0	6	1107	4	1116	2	1119	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	GVOGm0760	-	255	8.02e-97	316.9	0.0	1	1	5.01e-99	9.43e-97	316.7	0.0	5	245	8	256	5	258	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0890	-	152	1.78e-16	54.3	6.8	1	3	4.86e-01	9.14e+01	-3.2	5.7	50	94	49	93	4	151	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0890	-	152	1.78e-16	54.3	6.8	2	3	5.33e-03	1.00e+00	3.2	0.2	46	83	187	223	156	225	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	GVOGm0890	-	152	1.78e-16	54.3	6.8	3	3	9.45e-19	1.78e-16	54.3	6.8	28	151	235	366	198	368	0.90
GVMAG-S-1096109-37|1096109_contig_155_2	-	259	ATPase	-	578	7.03e-60	197.1	0.4	1	1	4.59e-62	8.63e-60	196.8	0.4	210	445	8	249	3	258	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	gamadvirusMCP	-	553	3.81e-10	32.6	0.0	1	3	8.08e-04	1.52e-01	4.2	0.0	48	110	61	128	36	136	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	gamadvirusMCP	-	553	3.81e-10	32.6	0.0	2	3	8.42e-10	1.58e-07	23.9	0.0	194	252	174	231	145	260	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	gamadvirusMCP	-	553	3.81e-10	32.6	0.0	3	3	1.42e-02	2.67e+00	0.1	0.0	479	519	445	485	365	497	0.90
GVMAG-S-1096109-37|1096109_contig_156_19	-	272	VLTF2	-	318	3.21e-08	27.1	0.0	1	1	6.65e-10	6.25e-08	26.2	0.0	41	111	169	244	148	250	0.90
GVMAG-S-1096109-37|1096109_contig_1169_10	-	265	VLTF2	-	318	4.45e-04	13.5	0.0	1	1	9.04e-06	8.50e-04	12.6	0.0	42	112	166	238	162	254	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	VLTF3	-	294	1.19e-24	80.5	3.6	1	2	5.73e-02	1.08e+01	-1.5	0.7	113	159	37	90	23	106	0.90
GVMAG-S-1096109-37|1096109_contig_460_2	-	368	VLTF3	-	294	1.19e-24	80.5	3.6	2	2	6.36e-27	1.19e-24	80.5	3.6	28	259	135	365	122	367	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	yaravirusMCP	-	409	6.94e-10	31.9	0.7	1	2	8.68e-09	1.63e-06	20.8	0.1	50	208	57	231	11	253	0.90
GVMAG-S-1096109-37|1096109_contig_460_1	-	582	yaravirusMCP	-	409	6.94e-10	31.9	0.7	2	2	2.35e-05	4.41e-03	9.5	0.1	357	391	461	494	354	577	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	COG0086	-	1133	2.50e-82	269.0	23.7	1	5	3.31e-03	2.07e-01	0.4	0.1	7	32	10	35	2	36	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	COG0086	-	1133	2.50e-82	269.0	23.7	2	5	2.56e-11	1.60e-09	27.4	2.2	62	240	60	213	59	220	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	COG0086	-	1133	2.50e-82	269.0	23.7	3	5	1.48e-14	9.29e-13	38.1	0.1	296	354	265	321	264	322	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	COG0086	-	1133	2.50e-82	269.0	23.7	4	5	2.11e-02	1.32e+00	-2.2	0.1	925	1049	384	413	382	430	0.90
GVMAG-S-1096109-37|1096109_contig_153_16	-	1010	COG0086	-	1133	2.50e-82	269.0	23.7	5	5	4.69e-67	2.94e-65	212.3	3.2	403	827	435	882	421	885	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	COG0086	-	1133	3.33e-25	79.4	0.4	1	2	2.17e-17	1.36e-15	47.5	0.1	855	907	68	119	60	123	0.90
GVMAG-S-1096109-37|1096109_contig_1169_5	-	427	COG0086	-	1133	3.33e-25	79.4	0.4	2	2	3.89e-12	2.44e-10	30.1	0.0	972	1083	308	381	306	381	0.90
